Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Towards Intent Based Network Management: Evaluation of YANG-Based Protocols for Intent Translation,A. R. Ramchandra; D. Loper; B. Blakely; L. Viviani; S. J. Plathottam; P. Ranganathan,"Center for Cyber Security Research (C2SR), University of North Dakota, Grand Forks, ND, USA; Center for Cyber Security Research (C2SR), University of North Dakota, Grand Forks, ND, USA; Argonne National Laboratory, Lemont, IL, USA; Center for Cyber Security Research (C2SR), University of North Dakota, Grand Forks, ND, USA; Argonne National Laboratory, Lemont, IL, USA; Center for Cyber Security Research (C2SR), University of North Dakota, Grand Forks, ND, USA",2025 Cyber Awareness and Research Symposium (CARS),21-Jan-26,2025,,,1,9,"This study reviews intent and execution protocols that automate cyber defenses in heterogeneous networks. After surveying OpenC2, DOTS, RID/IODEF, and XACML at the intent layer and NETCONF, RESTCONF, gNMI, and CLI over SSH at the execution layer, a reference implementation is built: a Raspberry Pi OpenC2 consumer orchestrates a Cisco IOS XE switch and NVIDIA Jetson endpoints running Suricata via Ansible playbooks. OpenC2 actions are mapped to device operations like access control list (ACL) edits, SPAN toggles, quarantine VLAN, executing switch actions via CLI over SSH (Ansible network_cli) and instrumenting timings, and instrument four timing taps from command ingest through device convergence. An OpenC2-to-Ansible bridge is implemented that translates intent into device-specific playbooks for IOS-XE switches and Jetson endpoints. A reproducible measurement plan (RQs, metrics, and methodology) is also presented.",,979-8-3315-9628-6,10.1109/CARS67163.2025.11337603,"U.S. Department of Energy; Office of Cybersecurity, Energy Security, and Emergency Response(grant numbers:TL0401010-05907-4219031,51582); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11337603,OpenC2;CLI over SSH;Ansible;NETCONF;RESTCONF;gNMI;YANG;IOS XE;Security Orchestration;Automation;Response (SOAR);Intent-Based Networking (IBN),Measurement;Protocols;Translation;Reviews;Instruments;Switches;Xenon;US Department of Transportation;Heterogeneous networks;Timing,,,,48,IEEE,21-Jan-26,27-30 Oct. 2025,27-30 Oct. 2025,IEEE,IEEE Conferences
Accurate and Stable Run-Time Power Modeling for Mobile and Embedded CPUs,M. J. Walker; S. Diestelhorst; A. Hansson; A. K. Das; S. Yang; B. M. Al-Hashimi; G. V. Merrett,"Department of Electronics and Computer Science, University of Southampton, Southampton, U.K.; ARM Research, ARM Ltd., Cambridge, U.K.; ARM Research, ARM Ltd., Cambridge, U.K.; Department of Electronics and Computer Science, University of Southampton, Southampton, U.K.; Department of Electronics and Computer Science, University of Southampton, Southampton, U.K.; Department of Electronics and Computer Science, University of Southampton, Southampton, U.K.; Department of Electronics and Computer Science, University of Southampton, Southampton, U.K.",IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,20-Dec-16,2017,36,1,106,119,"Modern mobile and embedded devices are required to be increasingly energy-efficient while running more sophisticated tasks, causing the CPU design to become more complex and employ more energy-saving techniques. This has created a greater need for fast and accurate power estimation frameworks for both run-time CPU energy management and design-space exploration. We present a statistically rigorous and novel methodology for building accurate run-time power models using performance monitoring counters (PMCs) for mobile and embedded devices, and demonstrate how our models make more efficient use of limited training data and better adapt to unseen scenarios by uniquely considering stability. Our robust model formulation reduces multicollinearity, allows separation of static and dynamic power, and allows a 100× reduction in experiment time while sacrificing only 0.6% accuracy. We present a statistically detailed evaluation of our model, highlighting and addressing the problem of heteroscedasticity in power modeling. We present software implementing our methodology and build power models for ARM Cortex-A7 and Cortex-A15 CPUs, with 3.8% and 2.8% average error, respectively. We model the behavior of the nonideal CPU voltage regulator under dynamic CPU activity to improve modeling accuracy by up to 5.5% in situations where the voltage cannot be measured. To address the lack of research utilizing PMC data from real mobile devices, we also present our data acquisition method and experimental platform software. We support this paper with online resources including software tools, documentation, raw data and further results.",1937-4151,,10.1109/TCAD.2016.2562920,ARM Ltd.; Engineering and Physical Sciences Research Council; PRiME Project; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7464834,Embedded systems;performance monitoring counters (PMCs);PMC event selection;power modeling and estimation,Central Processing Unit;Data models;Mobile communication;Computational modeling;Performance evaluation;Voltage measurement;Integrated circuit modeling,,81,,41,IEEE,4-May-16,Jan. 2017,,IEEE,IEEE Journals
"Using Extraction, Transformation and Loading Procedures for Digitalisation of Buildings",J. L. Hernández; D. Arévalo; S. Martín; K. Katsigarakis; G. N. Lilis; D. Rovas; I. De Miguel,"Energy Division, CARTIF technology centre, Boecillo, Spain; Energy Division, CARTIF technology centre, Boecillo, Spain; Energy Division, CARTIF technology centre, Boecillo, Spain; IEDE, University College London, London, UK; IEDE, University College London, London, UK; IEDE, University College London, London, UK; Universidad de Valladolid, Valladolid, Spain",2024 9th International Conference on Smart and Sustainable Technologies (SpliTech),5-Aug-24,2024,,,1,6,"The digitalisation of the building stock necessitates the integration of a wide array of digital and non-digital data sources into a cohesive framework that adheres to standardized data formats. Achieving this integration involves employing various extraction, transformation, and loading processes. These processes play a crucial role in converting raw data collected from building sites into instances that align with the specified unified format. This work delves into extraction, transformation, and loading methods utilized across nine pilot building sites situated in different countries, each marked by substantial data diversity. The heterogeneity among data sources and, consequently, datasets, is effectively addressed by a customized gathering process. This process incorporates static data to enhance the overall quality, enabling better-informed decision-making. The result is a harmonized building data repository with 10 use cases and more than 8000 data points, facilitating the application of intelligent services for energy-efficient management strategies. Enrichment of data is also achieved by synchronization approaches to ensure the coherence of the data.",,978-953-290-135-1,10.23919/SpliTech61897.2024.10612635,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10612635,Data lake;Extraction;Transformation and Loading (ETL);interoperability;data syncing;timeseries;static data,Databases;Soft sensors;Buildings;Loading;Decision making;Transforms;Synchronization,,1,,13,,5-Aug-24,25-28 June 2024,25-28 June 2024,IEEE,IEEE Conferences
Event-Driven Method for Automated Compliance Testing of Submodels,I. Nowshin; G. Mohamed; D. Schöttke; S. Schäfer; A. Zielstorff,"Dept 1 - Energy and Information, HTW Berlin, Berlin, Germany; Dept 1 - Energy and Information, HTW Berlin, Berlin, Germany; Dept 1 - Energy and Information, HTW Berlin, Berlin, Germany; Dept 1 - Energy and Information, HTW Berlin, Berlin, Germany; Dept. Digital Twin Engineering, Fraunhofer IESE, Berlin, Germany",2025 IEEE 30th International Conference on Emerging Technologies and Factory Automation (ETFA),21-Oct-25,2025,,,1,8,"Asset Administration Shells (AAS) and their associated submodels, which are essential components of Industry 4.0 are designed to ensure compliance and interoperability. It is crucial that AAS must be seamlessly integrated and compliant with industry standards for users in industrial manufacturing. As submodels serve as the core components of the AAS, ensuring their compliance with relevant standards is imperative. The manual validation process of submodels can be complex, time-consuming, and error-prone. This work builds on a previously developed framework that introduced recursive validation mechanisms, flexible input handling (including direct JSON input, API-based links, and file uploads for AAS and submodels), and adherence to Industrial Digital Twin Association (IDTA) submodel standards. In this paper, we extend the framework by incorporating real-time, MQTT-based event detection to enable automated validation of submodel updates. Furthermore, the proposed system supports the validation of multiple submodels within a single AAS as well as multiple AASs in parallel, enabling large-scale conformity testing. The test results are communicated to the user through an intuitive and user-friendly interface designed to support engineers and IT departments. Evaluation demonstrates that the system maintains an optimal validation time even as the number of tested submodels increases, ensuring the potential for large-scale use. This research improves the efficiency and accuracy of digital twin management, a key concern of Industry 4.0.",1946-0759,979-8-3315-5383-8,10.1109/ETFA65518.2025.11205665,Ministry of Education; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11205665,Asset Administration Shell;Submodels;Industry 4.0;Automated Testing;MQTT eventing,Industries;Event detection;Manuals;Real-time systems;Fourth Industrial Revolution;Digital twins;Systems support;Standards;Manufacturing automation;Interoperability,,1,,15,IEEE,21-Oct-25,9-12 Sept. 2025,9-12 Sept. 2025,IEEE,IEEE Conferences
Real-Time Long-Wave Infrared Semantic Segmentation With Adaptive Noise Reduction and Feature Fusion,H. Bae; D. -G. Kang; M. Chang; K. Y. Jeong; B. C. Song,"Department of Electrical and Computer Engineering, Inha University, Incheon, South Korea; Korea Electrotechnology Research Institute, Ansan, South Korea; Korea Electrotechnology Research Institute, Ansan, South Korea; Korea Electrotechnology Research Institute, Ansan, South Korea; Department of Electrical and Computer Engineering, Inha University, Incheon, South Korea",IEEE Access,27-Mar-25,2025,13,,51911,51921,"Semantic segmentation in the Long-Wave Infrared (LWIR) domain is critical for a wide range of applications including emergency response, industrial safety monitoring, and public building security. However, LWIR images often suffer from inherent pattern noise (known as fixed-pattern noise) and ambiguous object boundaries that hinder accurate segmentation. To address these challenges, this study presents a novel real-time semantic segmentation framework specifically designed for LWIR images. The framework incorporates a Stripe noise Denoising Module (SDM) and a Boundary Enhancement Module (BEM), which leverage frequency-domain filtering and learnable weights to adaptively process noisy input data and improve boundary prediction. In addition, a Multi-Stream Fusion Module (MSFM) integrates multi-scale semantic features with boundary information, thereby enhancing segmentation accuracy across diverse object scales. The proposed method demonstrates state-of-the-art performance in both accuracy and efficiency on multiple datasets, including KERInha and SODA. Extensive qualitative and quantitative evaluations further validate its robustness, particularly in scenarios where RGB imagery is unavailable. By eliminating the need for supplementary information such as depth data, this approach facilitates precise indoor and outdoor segmentation tasks with lightweight computation, making it highly suitable for real-world applications. Code is available at https://github.com/saha3jet/pytorch\_efficientirseg.",2169-3536,,10.1109/ACCESS.2025.3552782,KERI Primary research program of MSIT/NST(grant numbers:24A01037); Institute of Information & communications Technology Planning & Evaluation (IITP); Korea Government (MSIT)(grant numbers:RS-2022-00155915); National Research Foundation of Korea (NRF); Korea Government (MSIT)(grant numbers:2022R1A2C2010095); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10933928,Long-wave infrared image segmentation;noise reduction;feature fusion;boundary enhancement,Noise;Image segmentation;Noise reduction;Accuracy;Noise measurement;Semantics;Real-time systems;Filtering;Feature extraction;Training,,,,30,CCBY,19-Mar-25,2025,,IEEE,IEEE Journals
Exploring Blockchain in the Metaverse: Review of State-of-the-Art Frameworks and Future Research Challenges,A. Pandey; M. S. Obaidat; A. Kushwaha; S. K. Dwivedi; R. Amin,"Centre for Artificial Intelligence, Artificial Intelligence and Data Science Programme, Madhav Institute of Technology & Science, Deemed University (MITS-DU), Gwalior, Madhya Pradesh, India; Distinguished King Abdullah II School of Information Technology, University of Jordan, Amman, Jordan; Centre for Artificial Intelligence, Artificial Intelligence and Data Science Programme, Madhav Institute of Technology & Science, Deemed University (MITS-DU), Gwalior, Madhya Pradesh, India; Department of Computer Science and Engineering, School of Technology, Pandit Deendayal Energy University (PDEU), Gandhinagar, Gujarat, India; Department of Computer Science and Engineering, DSPM IIIT Naya Raipur (IIIT-NR), Chattisgarh, India","2025 International Conference on Computer, Information and Telecommunication Systems (CITS)",1-Aug-25,2025,,,1,6,"The integration of blockchain technology within the metaverse is driving a paradigm shift in how digital interactions and ecosystems are built and maintained. This paper investigates the transformative role of blockchain in enhancing trust, transparency, and decentralization across virtual environments. By enabling secure ownership of digital assets, identity verification, and decentralized governance, blockchain strengthens the infrastructure of the metaverse. The study also examines practical implementations across sectors like virtual commerce, remote healthcare, and immersive education. Finally, it discusses existing limitations such as latency, standardization gaps, and resource constraints, while outlining potential paths for future research and development.",,979-8-3315-1437-2,10.1109/CITS65975.2025.11099077,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11099077,Blockchain;Metaverse;Smart Applications;Security;Trust;Quantum Teleportation;decentralized authentication,Quantum computing;Metaverse;Reviews;Education;Standardization;Medical services;Teleportation;Blockchains;Telecommunications;Research and development,,,,26,IEEE,1-Aug-25,16-18 July 2025,16-18 July 2025,IEEE,IEEE Conferences
Taxonomy of malware analysis in the IoT,S. W. Soliman; M. A. Sobh; A. M. Bahaa-Eldin,"Misr International university; Ain Shams University; Misr International University, On leave from Ain Shams University",2017 12th International Conference on Computer Engineering and Systems (ICCES),1-Feb-18,2017,,,519,529,"Internet of Things (IoT) totally transformed our world on many levels and in many fields either industry, health, economy, energy saving, etc. According to Cisco by 2020 there will about 50 billion IoT connected devices and this causes many issues specially security problems. IoT devices are widely used everywhere and leads to user privacy, big data as well as in data and server management problems but malware is from the biggest challenges facing IoT devices where there are different types of malware like viruses, Trojan horses, worms, spy-ware and viruses, which can access and manipulate confidential information or cause a running problem in the system. As there are many types of malware but at the same time there are different approaches for malware analysis. Therefore there are many approaches to handle malware analysis and each approach has its pros and cons. In this paper we will discuss security issues in IoT devices and different approaches for malware analysis and build a taxonomy for malware analysis tools and methodologies from different points of view as well as the advantages and disadvantages of each approach.",,978-1-5386-1191-3,10.1109/ICCES.2017.8275362,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8275362,dynamic analysis;malware;static analysis;Internet of things;security,Malware;Security;Static analysis;Tools;Internet of Things;Protocols,,16,,31,IEEE,1-Feb-18,19-20 Dec. 2017,19-20 Dec. 2017,IEEE,IEEE Conferences
Cross Field-Based Segmentation and Learning-Based Vectorization for Rectangular Windows,X. Zhuo; J. Tian; F. Fraundorfer,"Institute of Remote Sensing, German Aerospace Center, Weßling, Germany; Institute of Remote Sensing, German Aerospace Center, Weßling, Germany; Institute of Computer Graphics and Vision, Graz University of Technology, Graz, Austria",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,16-Dec-22,2023,16,,431,448,"Detection and vectorization of windows from building façades are important for building energy modeling, civil engineering, and architecture design. However, current applications still face the challenges of low accuracy and lack of automation. In this article we propose a new two-steps workflow for window segmentation and vectorization from façade images. First, we propose a cross field learning-based neural network architecture, which is augmented by a grid-based self-attention module for window segmentation from rectified façade images, resulting in pixel-wise window blobs. Second, we propose a regression neural network augmented by squeeze-and-excitation (SE) attention blocks for window vectorization. The network takes the segmentation results together with the original façade image as input, and directly outputs the position of window corners, resulting in vectorized window objects with improved accuracy. In order to validate the effectiveness of our method, experiments are carried out on four public façades image datasets, with results usually yielding a higher accuracy for the final window prediction in comparison to baseline methods on four datasets in terms of intersection over union score, F1 score, and pixel accuracy.",2151-1535,,10.1109/JSTARS.2022.3218767,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9935110,Deep learning;façade parsing;vectorization;window segmentation,Image segmentation;Buildings;Feature extraction;Deep learning;Semantics;Deep learning;Energy management;Windows,,6,,76,CCBY,2-Nov-22,2023,,IEEE,IEEE Journals
Component-Based Synthesis of Structural Variants of Simulation Models for Changeable Material Flow Systems,J. Winkels; F. Özkul; R. Sutherland; J. Löhn; S. Wenzel; J. Rehof,"Department of Computer Science, TU Dortmund University, Germany; Dept. Organization of Production and Factory Planning (pfp), University of Kassel, Germany; Dept. Organization of Production and Factory Planning (pfp), University of Kassel, Germany; Department of Computer Science, TU Dortmund University, Germany; Dept. Organization of Production and Factory Planning (pfp), University of Kassel, Germany; Department of Computer Science, TU Dortmund University, Germany",2024 Winter Simulation Conference (WSC),20-Jan-25,2024,,,1657,1668,"Despite relevant research endeavors, modeling efforts related to the building of discrete-event simulation models for planning changeable material flow systems still limit their practical application. This is because simulation experts have to model many possible structural variants and compare them based on key performance indicators such as throughput, workload or investment costs, while also ensuring sufficient system changeability. This article presents a methodology for reducing efforts for structural variation during the experimental phase of a simulation study. Starting from a valid initial simulation model, structural variants of this simulation model are automatically generated by applying component-based software synthesis which uses combinatorial logic; thereby, a range of simulation models is provided for the user. This paper presents the outlined methodology using a case study and places it in the research context of reducing efforts associated with the design and execution of simulation experiments.",1558-4305,979-8-3315-3420-2,10.1109/WSC63780.2024.10838927,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10838927,,Costs;Key performance indicator;Buildings;Throughput;Software;Planning;Logic;Investment,,1,,37,IEEE,20-Jan-25,15-18 Dec. 2024,15-18 Dec. 2024,IEEE,IEEE Conferences
An Auxiliary Decision Model for Distribution Network Dispatching Based on Scientific Computing,Q. Li; H. Ouyang; J. Zheng; H. Xiang; F. Zhao; L. Zhao; G. Wang; W. Li,"State Grid Information & Telecommunication Group Co., Ltd., Beijing, China; State Grid Information & Telecommunication Group Co., Ltd., Beijing, China; State Grid Information & Telecommunication Group Co., Ltd., Beijing, China; State Grid Information & Telecommunication Group Co., Ltd., Beijing, China; Beijing SGITG Accenture Information Technology Center CO., LTD., Beijing, China; Beijing SGITG Accenture Information Technology Center CO., LTD., Beijing, China; Beijing SGITG Accenture Information Technology Center CO., LTD., Beijing, China; State Grid Information & Telecommunication Group Co., Ltd., Beijing, China","2024 20th International Conference on Natural Computation, Fuzzy Systems and Knowledge Discovery (ICNC-FSKD)",8-Oct-24,2024,,,1,7,"As distributed generation resources are interconnected on a large scale, the management and dispatching of distribution networks have become increasingly complex, and there is an urgent need for the auxiliary decision-making of distribution network dispatching to transition towards intelligence. Currently, operations such as load transfer still rely on manual handling, encountering issues like low digitalization levels and poor plan optimization. Decisions on load transfer strategies fail to utilize human-machine intelligent collaboration for adaptive decision-making in actual operational contexts. Therefore, an auxiliary decision model for distribution network dispatching based on scientific computing is proposed. Firstly, an optimized model for load transfer in distribution networks based on the collaborative optimization of primary and secondary distribution was developed. The objective is to minimize the operation costs of the transmission network and the costs of load shedding in the distribution network, thereby refining load supply transfer strategies and improving the computational efficiency and the optimality of these strategies. Secondly, an intent understanding and information recognition model is built upon LLaMA -CRF and knowledge graph methodologies. This model utilizes the LLaMA large model in conjunction with a parallel application architecture of the knowledge graph to facilitate the comprehension of intentions and the extraction of load supply transfer information. Finally, by establishing evaluation indicators and a test dataset for the load transfer operation auxiliary decision-making model, the effectiveness of intent understanding, information extraction, and optimization strategies for load transfer are assessed, verifying the validity of the proposed scientific computing-based auxiliary decision-making model for distribution network dispatching and operation.",,979-8-3503-5632-8,10.1109/ICNC-FSKD64080.2024.10702264,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10702264,component;formatting;style;styling;intelligent decision support;load transfer;scientific computing;LLaMA;knowledge graph,Adaptation models;Scientific computing;Computational modeling;Decision making;Distribution networks;Knowledge graphs;Dispatching;Computational efficiency;Optimization;Load modeling,,,,9,IEEE,8-Oct-24,27-29 July 2024,27-29 July 2024,IEEE,IEEE Conferences
WICOX: Weight-Based Integrated Cox Model for Time-to-Event Data in Distributed Databases Without Data-Sharing,J. A. Park; T. H. Kim; J. Kim; Y. R. Park,"Department of Biomedical Systems Informatics, Yonsei University College of Medicine, Seoul, Republic of Korea; Department of Biomedical Systems Informatics, Yonsei University College of Medicine, Seoul, Republic of Korea; Department of Biomedical Informatics, University of California San Diego, La Jolla, CA, USA; Department of Biomedical Systems Informatics, Yonsei University College of Medicine, Seoul, Republic of Korea",IEEE Journal of Biomedical and Health Informatics,4-Jan-23,2023,27,1,526,537,"To exploit large-scale biomedical data, the application of common data models and the establishment of data networks are being actively carried out worldwide. However, due to the privacy issues, it is difficult to share data distributed among institutions. In this study, we developed and evaluated weight-based integrated Cox model (WICOX) as a privacy-protecting method without sharing patient-level information across institutions. WICOX generates a weight for each institutional model and builds an integrated model of multi-institutional data based on these weights. WICOX does not require iterative communication until the centralized parameter converges. We performed experiments to show the weight characteristic of our algorithm based on 10 hospitals (2910 intensive care unit (ICU) stays in total) from the electronic intensive care unit Collaborative Research Database to predict time to ICU mortality with eight risk factors. Compared with the centralized Cox model, WICOX showed biases from 0 to 0.68E-2, from 0.00E-2 to 4.98E-2, and from 0.74E-2 to 1.7E-2 for time-dependent AUC, log hazard ratio, and survival rate, respectively. In addition, through simulation results using real 10 hospitals, WICOX showed robust results in accuracy under any composition of hospitals. The results of the experiments highlight that WICOX has robust characteristics and provides predictive performance and statistical inference results nearly the same as those of the centralized model. WICOX is a non-iterative method using the weight of institutional model for implementing the Cox model across multiple institutions in a privacy-preserving manner.",2168-2208,,10.1109/JBHI.2022.3218585,"Bio-Industrial Technology Development Program(grant numbers:20014841); Ministry of Trade, Industry and Energy; Korea Institute of Drug Safety and Risk Management; Korea Health Technology R&D Project; Korea Health Industry Development Institute; Ministry of Health & Welfare, Republic of Korea(grant numbers:HI19C1330); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9933812,Cox proportional hazard model;distributed algorithm;horizontally partitioned data;privacy protection method,Data models;Distributed databases;Predictive models;Analytical models;Hazards;Biological system modeling;Bioinformatics,Humans;Proportional Hazards Models;Algorithms;Privacy;Information Dissemination;Computer Communication Networks,4,,40,IEEE,1-Nov-22,Jan. 2023,,IEEE,IEEE Journals
Visualization of Patents belonging to composite materials used in electronics,T. Dereli; A. Durmusoglu,"Industrial Engineering Department, University of Gaziantep, Gaziantep, Turkey; Industrial Engineering Department, University of Gaziantep, Gaziantep, Turkey",2011 Proceedings of PICMET '11: Technology Management in the Energy Smart World (PICMET),12-Sep-11,2011,,,1,8,"There have been numerous methods which are used to identify evolution of technologies. One prestigious of those methods has been analyzing the patent information using the visualization methods. An esteemed visualization method was also presented by Kim et al. in 2008, where some drawbacks of existing methods have been handled rigorously. In their proposed visualization method, collected keywords from the patents of a target technology-field are clustered by k-means algorithm. With the clustering results, a semantic network of keywords is formed. Subsequently, a patent map is built up using the patents. Since composite materials have been key materials for microelectronic devices ranging from computers, sensors and micro-electromechanical systems (MEMs), nano-MEMS to bio-MEMS, in this study, patents which belong to the composite materials used in electronics have been analyzed. For this purpose, European Patent Office's database “esp@cenet” has been searched for the technologies covering the composite materials that can be used in electronics. 69 granted patents has been retrieved and analyzed using the Kim et al.'s (2008) visualization method. The “keyword existence matrix” defined through the proposed methodology has been formed using the keyword list of “Composites Science and Technology” which is a well-respected journal in the related domain.",2159-5100,978-1-890843-23-6,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6017796,,Patents;Visualization;Technological innovation;Nanocomposites;Composite materials;Investments;Semantics,,1,,31,,12-Sep-11,31 July-4 Aug. 2011,31 July-4 Aug. 2011,IEEE,IEEE Conferences
Identification of Appliance V-I Trajectory Based on Hash Image Retrieval Method,J. Lu; Z. Yu; J. Zhang; R. Zhao; K. Li; K. Zeng,"Electric Power Dispatching and Control Center, Guangdong Power Grid, Guangzhou, China; Electric Power Dispatching and Control Center, Guangdong Power Grid, Guangzhou, China; School of Electrical and Information Engineering, Tianjin University, Tianjin, China; Electric Power Dispatching and Control Center, Guangdong Power Grid, Guangzhou, China; School of Electrical and Information Engineering, Tianjin University, Tianjin, China; Electric Power Dispatching and Control Center, Guangdong Power Grid, Guangzhou, China",2023 3rd Power System and Green Energy Conference (PSGEC),26-Sep-23,2023,,,1146,1151,"With the power system's development and intelligence improvement, the demand for appliance identification technology is increasing. Appliance identification refers to analyzing and processing appliance data in the power system to obtain detailed information and signatures. However, traditional appliance identification methods usually require surveying users or deploying additional sensors. This intrusive method has problems such as high costs and difficulty in data acquisition. To overcome that problem, we propose a non-intrusive load monitoring (NILM) method based on a hash image retrieval algorithm. First, we represent the appliance data of the power system as an image and convert it into a compact and unique hash code using a hashed image retrieval algorithm. Then, we built a hash image library containing hash images of various appliance types and their corresponding appliance feature information. When appliance identification is required, we only need to compare the appliance V-I trajectory image to be identified with the hash image in the library and determine the most matching appliance type by calculating the similarity between the hash codes. The experimental results show that the NILM method based on the hash image retrieval algorithm is efficient and accurate. Therefore, the proposed method has broad prospects and potential in practical applications and can provide strong support for the operation and management of power systems.",,979-8-3503-4009-9,10.1109/PSGEC58411.2023.10255957,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10255957,Non-intrusive load monitoring;hashed image retrieval;V-I trajectory;appliance identification,Representation learning;Load monitoring;Codes;Image recognition;Image retrieval;Libraries;Power systems,,,,16,IEEE,26-Sep-23,24-26 Aug. 2023,24-26 Aug. 2023,IEEE,IEEE Conferences
AskHPC: A ChatBot for High Performance Computing User Support,A. Bondapalli; H. Zheng; O. T. Ajayi; M. Keceli; H. S. Som; T. Childers; L. Childers; Y. Ghadar; M. Papka; V. Vishwanath; R. Ge,"Clemson University Clemson, USA; Argonne National Laboratory (ANL) Lemont, USA; Illinois Institute of Technology Chicago, USA; Argonne National Laboratory (ANL) Lemont, USA; Argonne National Laboratory (ANL) Lemont, USA; Argonne National Laboratory (ANL) Lemont, USA; Argonne National Laboratory (ANL) Lemont, USA; Argonne National Laboratory (ANL) Lemont, USA; Argonne National Laboratory (ANL) Lemont, USA; Argonne National Laboratory (ANL) Lemont, USA; Argonne National Laboratory (ANL) Lemont, USA","SC25-W: Workshops of the International Conference for High Performance Computing, Networking, Storage and Analysis",16-Feb-26,2025,,,727,739,"High-Performance Computing (HPC) systems in the exascale era are increasingly heterogeneous, requiring users to navigate diverse tools, configurations, and best practices. However, essential information is often scattered across fragmented, multimodal documentation, making it difficult and time-consuming to locate. To address this, we present AskHPC, an intelligent question-answering ChatBot that delivers accurate, timely, and accessible information through a unified conversational interface. Built on a curated knowledge base integrating user guides, scheduler manuals, and programming documentation, AskHPC leverages Large Language Models (LLMs) within a Retrieval-Augmented Generation (RAG) framework. It employs two key techniques to improve HPC query responses: a modality-aware document parsing pipeline that preserves multimodal structure, and a dual-context strategy combining retrieved content (e.g., complete code blocks) with LLM-generated semantics. Evaluation, including a real-world user study, shows AskHPC outperforms direct LLM queries and vanilla RAG systems, enhancing user support and accelerating HPC software development.",,979-8-4007-1871-7,10.1145/3731599.3767433,U.S. National Science Foundation(grant numbers:CCF-2350323); U.S. Department of Energy (DOE); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11358022,Large Language Models;Retrieval-Augmented Generation;HPC User Support;ChatBot;Exascale Computing;Multimodal RAG,Software libraries;Large language models;Computational modeling;Retrieval augmented generation;Semantics;Documentation;Chatbots;Software;Reliability;Software development management,,,,64,,16-Feb-26,16-21 Nov. 2025,16-21 Nov. 2025,IEEE,IEEE Conferences
